mol_type,method,heads,learning_rate,tie,normalization,contigs,real,predicted,auc,precision,recall,f1,accuracy
plasmid,2_h_lr_0.0003_tie_True_norm_layer,2,0.0003,True,layer,38272,5365.0,5760.0,0.9581313131313132,0.7647058823529411,0.8823076923076922,0.7058823529411765,0.9126984126984128
plasmid,2_h_lr_0.005_tie_False_norm_batch,2,0.005,False,batch,38272,5365.0,4856.0,0.8361835489931466,0.6233108108108107,0.4068965517241379,0.4397905759162304,0.8554565081133784
plasmid,2_h_lr_0.005_tie_False_norm_layer,2,0.005,False,layer,38272,5365.0,5706.0,0.9603289635194188,0.7317073170731707,0.8121693121693121,0.6857142857142858,0.8900106742572496
plasmid,2_h_lr_0.005_tie_True_norm_batch,2,0.005,True,batch,38272,5365.0,6515.0,0.95557864010989,0.7370505136986301,0.903125,0.7272727272727273,0.8874119718309859
plasmid,2_h_lr_0.005_tie_True_norm_layer,2,0.005,True,layer,38272,5365.0,6093.0,0.9794473703459878,0.7817460317460317,0.9245014245014244,0.8,0.9173396890940004
plasmid,3_h_lr_0.0001_tie_False_norm_batch,3,0.0001,False,batch,38272,5365.0,5683.0,0.8331188934904106,0.3333333333333333,0.5,0.3874999999999999,0.8087354146956796
plasmid,3_h_lr_0.0001_tie_False_norm_layer,3,0.0001,False,layer,38272,5365.0,5889.0,0.9513713745271122,0.8181818181818182,0.8679268292682927,0.7692307692307693,0.9101439101439102
plasmid,3_h_lr_0.0001_tie_True_norm_batch,3,0.0001,True,batch,38272,5365.0,8539.0,0.8411577123691623,0.2282986111111111,0.7477272727272728,0.3904761904761905,0.7327879303017424
plasmid,3_h_lr_0.0001_tie_True_norm_layer,3,0.0001,True,layer,38272,5365.0,6195.0,0.9492445054945056,0.6666666666666666,0.8836336336336337,0.6666666666666666,0.8838997695852535
plasmid,3_h_lr_0.0003_tie_False_norm_batch,3,0.0003,False,batch,38272,5365.0,5398.0,0.9741757000903342,0.8333333333333334,0.8559907834101382,0.7457627118644067,0.9067423777368528
plasmid,3_h_lr_0.0003_tie_False_norm_layer,3,0.0003,False,layer,38272,5365.0,5427.0,0.9441352008175252,0.797979797979798,0.8181818181818182,0.6785714285714286,0.8888888888888888
plasmid,3_h_lr_0.0003_tie_True_norm_batch,3,0.0003,True,batch,38272,5365.0,4977.0,0.948107637562702,0.8910891089108911,0.7735042735042735,0.7000000000000001,0.9007042253521127
plasmid,3_h_lr_0.0003_tie_True_norm_layer,3,0.0003,True,layer,38272,5365.0,6722.0,0.9533511962901366,0.7238751814223512,0.8895663956639566,0.6885245901639345,0.8977611940298508
plasmid,3_h_lr_0.005_tie_False_norm_batch,3,0.005,False,batch,38272,5365.0,4329.0,0.8721255828561765,0.7857142857142857,0.4045454545454545,0.5,0.8562877800165936
plasmid,3_h_lr_0.005_tie_False_norm_layer,3,0.005,False,layer,38272,5365.0,6066.0,0.9114375270481708,0.513157894736842,0.6693989071038251,0.5,0.8375366568914956
plasmid,3_h_lr_0.005_tie_True_norm_batch,3,0.005,True,batch,38272,5365.0,5489.0,0.9857886904761906,0.8928571428571429,0.8461538461538461,0.7999999999999999,0.9337719298245616
plasmid,3_h_lr_0.005_tie_True_norm_layer,3,0.005,True,layer,38272,5365.0,37119.0,0.5329377443792767,0.1581552892131318,1.0,0.3453849269172711,0.2071678321678322
plasmid,1_h_lr_0.001_tie_False_norm_None,1,0.001,False,None,38272,5365.0,5499.0,0.9662010898109245,0.8285714285714286,0.8461538461538461,0.7453703703703702,0.8918887330528285
plasmid,1_h_lr_0.001_tie_False_norm_batch,1,0.001,False,batch,38272,5365.0,5385.0,0.9606770889956732,0.8275862068965517,0.8418749999999999,0.7191463037426539,0.8976588170865278
